keyword,word_count,uses,density
0,1,2,0.1
1,1,18,1.0
2,1,9,0.5
3,1,7,0.4
4,1,5,0.3
5,1,8,0.4
6,1,2,0.1
7,1,3,0.2
8,1,4,0.2
10,1,6,0.3
11,1,3,0.2
12,1,4,0.2
14,1,4,0.2
22,1,2,0.1
31,1,4,0.2
36,1,2,0.1
46,1,2,0.1
52,1,3,0.2
123,1,3,0.2
193,1,2,0.1
225,1,2,0.1
2018,1,2,0.1
schema org,2,2,0.1
org type,2,2,0.1
www youtube,2,2,0.1
youtube com,2,2,0.1
Search Search,2,2,0.1
Crushing 52,2,3,0.2
52 CRUNCHY,2,3,0.2
CRUNCHY SOFT,2,3,0.2
SOFT Things,2,3,0.2
Things Car,2,11,0.6
Car Tire,2,3,0.2
Tire Crushing,2,3,0.2
Crushing Compilation,2,4,0.2
Compilation Oddly,2,3,0.2
Oddly Satisfying,2,3,0.2
Satisfying videos,2,3,0.2
Guys today,2,3,0.2
today s,2,3,0.2
s video,2,3,0.2
video show,2,3,0.2
show THE,2,3,0.2
THE MOST,2,3,0.2
MOST SATISFYING,2,3,0.2
SATISFYING CAR,2,3,0.2
CAR TIRE,2,3,0.2
TIRE CRUSH,2,3,0.2
CRUSH ASMR,2,3,0.2
ASMR COMPILATION,2,3,0.2
COMPILATION comment,2,3,0.2
comment one,2,3,0.2
one satisfying,2,3,0.2
1 https,2,3,0.2
https youtu,2,9,0.5
youtu wvY8Ce0K9x0,2,3,0.2
2 https,2,3,0.2
youtu SVGUKBugoKo,2,3,0.2
3 https,2,3,0.2
youtu GcsnxjXNGPA,2,3,0.2
n n,2,11,0.6
http bit,2,3,0.2
bit ly,2,3,0.2
ly 1r2kU3A,2,3,0.2
Be Friends,2,3,0.2
I N,2,6,0.3
N S,2,3,0.2
S T,2,6,0.3
T A,2,3,0.2
A G,2,3,0.2
G R,2,3,0.2
R A,2,3,0.2
A M,2,3,0.2
M https,2,3,0.2
https www,2,13,0.7
www instagram,2,3,0.2
instagram com,2,3,0.2
com hellomaphie,2,6,0.3
hellomaphie n,2,2,0.1
n T,2,2,0.1
T W,2,3,0.2
W I,2,3,0.2
I T,2,3,0.2
T T,2,3,0.2
T E,2,6,0.3
E R,2,6,0.3
R https,2,6,0.3
https twitter,2,3,0.2
twitter com,2,3,0.2
F A,2,3,0.2
A C,2,3,0.2
C E,2,3,0.2
E B,2,3,0.2
B O,2,3,0.2
O O,2,3,0.2
O K,2,3,0.2
K https,2,3,0.2
www facebook,2,3,0.2
facebook com,2,3,0.2
com Hellomaphie,2,6,0.3
Hellomaphie n,2,2,0.1
T U,2,3,0.2
U M,2,3,0.2
M B,2,3,0.2
B L,2,3,0.2
L R,2,3,0.2
www hellomaphie,2,3,0.2
hellomaphie tumblr,2,3,0.2
tumblr com,2,3,0.2
com n,2,2,0.1
P I,2,3,0.2
N T,2,3,0.2
R E,2,3,0.2
E S,2,3,0.2
T https,2,3,0.2
www pinterest,2,3,0.2
pinterest com,2,3,0.2
hellomaphie I,2,3,0.2
I can,2,3,0.2
can see,2,3,0.2
see posts,2,3,0.2
posts tag,2,3,0.2
INQUIRIES ONLY,2,3,0.2
mc gmail,2,3,0.2
gmail com,2,3,0.2
fun relaxing,2,3,0.2
relaxing make,2,3,0.2
make slime,2,3,0.2
slime videos,2,3,0.2
videos tide,2,3,0.2
tide pods,2,3,0.2
pods chalk,2,3,0.2
chalk paint,2,3,0.2
paint balls,2,3,0.2
balls wax,2,3,0.2
wax crayons,2,3,0.2
crayons listen,2,3,0.2
listen crushing,2,3,0.2
crushing relaxing,2,3,0.2
relaxing sounds,2,3,0.2
sounds antistress,2,3,0.2
antistress today,2,3,0.2
today I,2,3,0.2
I came,2,3,0.2
came visual,2,3,0.2
visual video,2,3,0.2
video asmr,2,3,0.2
asmr using,2,3,0.2
using tire,2,3,0.2
tire car,2,3,0.2
car crush,2,3,0.2
crush balloons,2,3,0.2
balloons water,2,3,0.2
water bottles,2,3,0.2
bottles listen,2,3,0.2
listen crunch,2,3,0.2
crunch crunchy,2,3,0.2
crunchy oddly,2,3,0.2
oddly satisfying,2,3,0.2
satisfying destroying,2,3,0.2
destroying will,2,3,0.2
will satisfy,2,3,0.2
satisfy relax,2,3,0.2
relax use,2,3,0.2
use water,2,3,0.2
water washing,2,3,0.2
Sponsored Products,2,3,0.2
Products marked,2,3,0.2
marked either,2,3,0.2
either sent,2,3,0.2
sent free,2,3,0.2
free contain,2,3,0.2
contain affiliate,2,3,0.2
affiliate links,2,3,0.2
Crushing Crunchy,2,5,0.3
Crunchy Soft,2,9,0.5
Soft Things,2,8,0.4
Car Compilation,2,4,0.2
Compilation Floral,2,4,0.2
Floral Foam,2,7,0.4
Foam Squishy,2,6,0.3
Squishy Tide,2,6,0.3
Tide Pods,2,6,0.3
Pods More,2,6,0.3
Car Floral,2,2,0.1
More 193,2,2,0.1
193 081,2,2,0.1
081 225,2,2,0.1
views Dec,2,2,0.1
Dec 31,2,2,0.1
videos Hi,2,2,0.1
Hi Guys,2,2,0.1
satisfying Part,2,2,0.1
Part 1,2,2,0.1
wvY8Ce0K9x0 Part,2,2,0.1
Part 2,2,3,0.2
SVGUKBugoKo Part,2,2,0.1
Part 3,2,2,0.1
GcsnxjXNGPA SUBSCRIBE,2,2,0.1
SUBSCRIBE http,2,2,0.1
1r2kU3A Let,2,2,0.1
Let Be,2,2,0.1
Friends I,2,2,0.1
hellomaphie T,2,2,0.1
hellomaphie F,2,2,0.1
Hellomaphie T,2,2,0.1
com P,2,2,0.1
Hellomaphie Use,2,2,0.1
Use hellomaphie,2,2,0.1
tag BUSSINES,2,2,0.1
BUSSINES INQUIRIES,2,2,0.1
ONLY thenailroom,2,2,0.1
thenailroom mc,2,2,0.1
com For,2,2,0.1
For fun,2,2,0.1
washing Not,2,2,0.1
Not Sponsored,2,2,0.1
links Show,2,2,0.1
Show less,2,2,0.1
less Show,2,2,0.1
HelloMaphie HelloMaphie,2,2,0.1
HelloMaphie Verified,2,2,0.1
Verified 8,2,3,0.2
8 68M,2,2,0.1
68M subscribers,2,2,0.1
subscribers Subscribe,2,2,0.1
Show NaN,2,2,0.1
NaN undefined,2,2,0.1
Now playing,2,20,1.1
